utc,exitcode,http,time_connect,time_total
2026-09-05T16:48:13Z,0,200,0.164358,0.214208
2026-09-05T16:48:28Z,0,200,0.173801,0.222472
2026-09-05T16:48:44Z,0,200,0.145151,0.195320
2026-09-05T16:48:59Z,0,200,0.038716,0.089430
2026-09-05T16:49:14Z,0,200,0.041492,0.100150
2026-09-05T16:49:29Z,0,200,0.039975,0.094534
2026-09-05T16:49:44Z,0,200,0.159918,0.207854
2026-09-05T16:49:59Z,0,200,0.145592,0.196851
2026-09-05T16:50:14Z,0,200,0.039582,0.089393
2026-09-05T16:50:30Z,0,200,0.160303,0.210584
2026-09-05T16:50:45Z,0,200,0.163038,0.216706
2026-09-05T16:51:00Z,0,200,0.039549,0.087871
2026-09-05T16:51:15Z,0,200,0.039679,0.089375
2026-09-05T16:51:30Z,0,200,0.039115,0.088663
2026-09-05T16:51:45Z,0,200,0.161016,0.210344
2026-09-05T16:52:01Z,0,200,0.159888,0.212594
2026-09-05T16:52:16Z,0,200,0.160980,0.212796
2026-09-05T16:52:31Z,0,200,0.040300,0.089506
2026-09-05T16:52:46Z,0,200,0.040238,0.088939
2026-09-05T16:53:01Z,0,200,0.148803,0.197790
2026-09-05T16:53:17Z,0,200,0.163313,0.212172
2026-09-05T16:53:32Z,0,200,0.158322,0.209761
2026-09-05T16:53:47Z,0,200,0.040399,0.089307
2026-09-05T16:54:02Z,0,200,0.146964,0.196368
2026-09-05T16:54:17Z,0,200,0.165560,0.214696
2026-09-05T16:54:33Z,0,200,0.160362,0.209279
2026-09-05T16:54:48Z,0,200,0.157876,0.206989
2026-09-05T16:55:03Z,0,200,0.160884,0.211544
2026-09-05T16:55:18Z,0,200,0.162363,0.211213
2026-09-05T16:55:33Z,0,200,0.145283,0.192564
2026-09-05T16:55:48Z,0,200,0.043315,0.092582
2026-09-05T16:56:04Z,0,200,0.164649,0.214223
2026-09-05T16:56:19Z,0,200,0.161267,0.212065
2026-09-05T16:56:34Z,0,200,0.146950,0.196351
2026-09-05T16:56:49Z,0,200,0.040261,0.088997
2026-09-05T16:57:05Z,0,200,0.172644,0.221609
2026-09-05T16:57:20Z,0,200,0.158038,0.205317
2026-09-05T16:57:35Z,0,200,0.038657,0.087498
2026-09-05T16:57:50Z,0,200,0.164281,0.213523
2026-09-05T16:58:05Z,0,200,0.161743,0.210242
2026-09-05T16:58:21Z,0,200,0.174962,0.229305
2026-09-05T16:58:36Z,0,200,0.146583,0.194990
2026-09-05T16:58:51Z,0,200,0.147900,0.203703
2026-09-05T16:59:06Z,0,200,0.159210,0.207729
2026-09-05T16:59:22Z,0,200,0.039176,0.088793
2026-09-05T16:59:37Z,0,200,0.049974,0.123179
2026-09-05T16:59:52Z,0,200,0.073571,0.168912
2026-09-05T17:00:07Z,0,200,0.039575,0.087883
2026-09-05T17:00:22Z,0,200,0.144968,0.192926
2026-09-05T17:00:38Z,0,200,0.161043,0.211937
2026-09-05T17:00:53Z,0,200,0.167690,0.219250
2026-09-05T17:01:08Z,0,200,0.146996,0.199169
2026-09-05T17:01:23Z,0,200,0.150787,0.210110
2026-09-05T17:01:48Z,0,200,0.050190,0.146255
2026-09-05T17:02:03Z,0,200,0.040498,0.096675
